country_code_2,country_code_3,country_name,country_flag
BT,BTN,Bhutan,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#ffda44"" d=""M0 0h512L281 293.2 0 512z""/><path fill=""#ff9811"" d=""M506.7 0 0 506.7v5.3h512V0h-5.3z""/><path fill=""#eee"" d=""M398.2 142V97.7h-85.3l-6.5 6.5c-23.2 23.2-19.3 50.2-16.5 70 2.7 18.3 3 25.3-3.8 32-6.8 7-14 6.6-32.2 4-19.7-3-46.8-6.8-70 16.4-23.2 23.2-19.3 50.3-16.4 70 2.6 18.3 3 25.4-4 32.2-6.7 6.8-13.7 6.5-32 3.8-7.2-1-14.5-2-22.4-2.2l-.5 44.6c5 0 10.6.8 16.5 1.7 7 1 15 2.2 23.5 2.2 8.7 0 18-1.3 27-5.2v35.6h66.8v-33.4H209v-22.2h22.3v-33.4h-18c.9-10.8-.6-21.2-2-30-2.5-18.4-3-25.4 4-32.2 6.8-6.8 13.8-6.5 32.2-3.8 14.3 2 32.6 4.7 50.4-3v35.6h66.8v-33.4h-33.3V231h22.3v-33.4h-17.8a130 130 0 0 0-2-30c-1.8-12.8-2.5-20-.4-25.6z""/></g></svg>"
BW,BWA,Botswana,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#338af3"" d=""M0 0h512v178l-31 76.9 31 79.1v178H0V334l37-80.7L0 178z""/><path fill=""#333"" d=""m0 211.5 256-19.2 256 19.2v89l-254.6 20.7L0 300.5z""/><path fill=""#eee"" d=""M0 178h512v33.5H0zm0 122.5h512V334H0z""/></g></svg>"
BY,BLR,Belarus,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#eee"" d=""M0 0h155.8l35 254.6-35 257.4H0z""/><path fill=""#a2001d"" d=""M155.8 0H512v345.1l-183 37.4-173.2-37.4z""/><path fill=""#6da544"" d=""M155.8 345.1H512V512H155.8z""/><path fill=""#a2001d"" d=""M50 .2 22.3 50l27.8 50.4L77.9 50zm55.8 0L78 50l27.7 50.4 28-50.4zM50 137.5l-27.7 49.6 27.8 50.5 27.7-50.5zm55.8 0L78 187.1l27.7 50.5 28-50.5zM50 274.7l-27.7 49.7 27.8 50.4 27.8-50.4zm55.8 0L78 324.4l27.7 50.4 28-50.4zM50 412l-27.7 49.6 27.8 50.5 27.7-50.5zm55.8 0L78 461.6l27.7 50.5 28-50.5z""/></g></svg>"
BZ,BLZ,Belize,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#0052b4"" d=""m0 44.5 257.8-23.7L512 44.5v423l-252.5 26L0 467.5z""/><circle cx=""256"" cy=""256"" r=""122.4"" fill=""#eee""/><circle cx=""256"" cy=""256"" r=""100.2"" fill=""#6da544""/><circle cx=""256"" cy=""256"" r=""66.8"" fill=""#eee""/><path fill=""#0052b4"" d=""M256 239.3 219.8 256v27.8l36.2 22.3 36.2-22.3V256z""/><path fill=""#ffda44"" d=""M219.8 222.6h72.4V256h-72.4z""/><path fill=""#a2001d"" d=""M0 0h512v44.5H0zm0 467.5h512V512H0z""/></g></svg>"
CA,CAN,Canada,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""M0 0v512h144l112-64 112 64h144V0H368L256 64 144 0Z""/><path fill=""#eee"" d=""M144 0h224v512H144Z""/><path fill=""#d80027"" d=""m301 289 44-22-22-11v-22l-45 22 23-44h-23l-22-34-22 33h-23l23 45-45-22v22l-22 11 45 22-12 23h45v33h22v-33h45z""/></g></svg>"
CC,CCK,Cocos (Keeling) Islands,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#6da544"" d=""M0 0h512v512H0z""/><g fill=""#ffda44""><path d=""m393 367.3 7 14.7 15.9-3.7-7.1 14.7 12.7 10-15.9 3.7V423L393 412.8 380.3 423v-16.3l-15.9-3.6 12.8-10.1-7.1-14.7L386 382zm-65.4-155.8 7 14.7 16-3.7-7.2 14.7 12.8 10-16 3.6.1 16.3-12.7-10.2-12.7 10.2v-16.3l-15.8-3.5 12.7-10.1-7-14.7 15.8 3.7zm65.4-89 7 14.6 15.9-3.6-7.1 14.6 12.7 10.1-15.9 3.6v16.3L393 167.9l-12.7 10.2v-16.3l-15.9-3.6 12.8-10-7.1-14.7L386 137zm57 66.7 7 14.7 16-3.7-7.1 14.7 12.7 10.1-15.9 3.6v16.3l-12.6-10.2-12.7 10.2v-16.3l-15.9-3.6 12.8-10.1-7.1-14.7L443 204zm-40.8 78 5.6 17h17.9l-14.5 10.4 5.5 17-14.5-10.5-14.4 10.6 5.5-17-14.5-10.6h18z""/><path d=""M283.8 328.3a72.3 72.3 0 1 1 34.4-136 89 89 0 1 0 0 127.3 72 72 0 0 1-34.4 8.7zM161 100.2a44.5 44.5 0 0 0-77.1 0h77zm.1.2-38.7 38.7-38.7-38.7a44.3 44.3 0 0 0-5.8 22 44.5 44.5 0 1 0 89 0 44.3 44.3 0 0 0-5.8-22z""/></g><path fill=""#a2001d"" d=""M111.3 128v37.6a44.6 44.6 0 0 0 11.1 1.4c3.9 0 7.6-.5 11.2-1.4V128h-22.3z""/></g></svg>"
CD,COD,Congo (Democratic Republic),"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#338af3"" d=""M0 0h401.9L512 110.3V512H110.3L0 401.9z""/><path fill=""#ffda44"" d=""M401.9 0 0 401.9V449l63 63h47.3L512 110.3V63L449 0z""/><path fill=""#d80027"" d=""M449 0 0 449v63h63L512 63V0h-63z""/><path fill=""#ffda44"" d=""m136.4 78 13.8 42.4H195l-36 26.3 13.7 42.5-36.2-26.3-36 26.3 13.7-42.5L78 120.4h44.7z""/></g></svg>"
CF,CAF,Central African Republic,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#ffda44"" d=""m0 378.4 252.9-28.8L512 378.4V512H322.8L256 481l-66.8 31H0z""/><path fill=""#6da544"" d=""m0 256 249.8-28L512 256v122.4H0z""/><path fill=""#eee"" d=""m0 133.6 255.3-28.3L512 133.6V256H0z""/><path fill=""#0052b4"" d=""M0 0h189.2L256 30l66.8-30H512v133.6H0z""/><path fill=""#ffda44"" d=""m137.7 55.7 6.9 21.2H167L148.9 90l6.9 21.3-18.1-13.1-18 13.1 6.8-21.3-18-13h22.3z""/><path fill=""#d80027"" d=""M189.2 0h133.6v512H189.2z""/></g></svg>"
CG,COG,Congo,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#ffda44"" d=""M384 0h128v128L352 352 128 512H0V384l160-224Z""/><path fill=""#6da544"" d=""M0 384 384 0H0Z""/><path fill=""#d80027"" d=""M512 128 128 512h384z""/></g></svg>"
CH,CHE,Switzerland,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""M0 0h512v512H0z""/><path fill=""#eee"" d=""M389.6 211.5h-89v-89h-89.1v89h-89v89h89v89h89v-89h89z""/></g></svg>"
CI,CIV,Cote d'Ivoire,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#eee"" d=""M167 0h178l31 253.2L345 512H167l-33.4-257.4z""/><path fill=""#ff9811"" d=""M0 0h167v512H0z""/><path fill=""#6da544"" d=""M345 0h167v512H345z""/></g></svg>"
CK,COK,Cook Islands,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#0052b4"" d=""M256 0h256v512H0V256Z""/><path fill=""#eee"" d=""M0 0v32l32 32L0 96v160h32l32-32 32 32h32v-83l83 83h45l-8-16 8-15v-14l-83-83h83V96l-32-32 32-32V0H96L64 32 32 0Z""/><path fill=""#d80027"" d=""M32 0v32H0v64h32v160h64V96h160V32H96V0Zm96 128 128 128v-31l-97-97z""/><path fill=""#eee"" d=""m345 256 4.8 14.6H365l-12.4 9 4.7 14.6-12.4-9-12.4 9 4.8-14.6-12.4-9h15.3zm-63 26 13.7 7 10.9-10.8-2.4 15.1 13.6 7-15.1 2.4-2.4 15.1-7-13.6-15.1 2.4 10.8-10.9zm-26 63 14.6-4.7V325l9 12.4 14.6-4.8-9 12.4 9 12.4-14.6-4.7-9 12.4v-15.3zm26 63 7-13.6-10.8-10.9 15.1 2.4 7-13.6 2.4 15 15.1 2.5-13.6 7 2.4 15-10.9-10.8zm63 26-4.7-14.5H325l12.4-9-4.8-14.6 12.4 9 12.4-9-4.7 14.6 12.4 9h-15.3zm63-26-13.6-7-10.9 10.9 2.4-15.2-13.6-7 15-2.3 2.5-15.1 7 13.6 15-2.4-10.8 10.9zm26-63-14.5 4.8V365l-9-12.4-14.6 4.7 9-12.4-9-12.4 14.6 4.8 9-12.4v15.3zm-26-63-7 13.7 10.9 10.9-15.2-2.4-7 13.6-2.3-15.1-15.1-2.4 13.6-7-2.4-15.1 10.9 10.8z""/></g></svg>"
CL,CHL,Chile,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""m0 256 254.5-51.3L512 256v256H0z""/><path fill=""#0052b4"" d=""M0 0h256l52.7 132.8L256 256H0z""/><path fill=""#eee"" d=""M256 0h256v256H256zM152.4 89l16.6 51h53.6l-43.4 31.6 16.6 51-43.4-31.5-43.4 31.5 16.6-51L82.2 140h53.6z""/></g></svg>"
CM,CMR,Cameroon,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""M144.8 0h222.4l32 260-32 252H144.8l-32.1-256z""/><path fill=""#ffda44"" d=""m256.1 167 22.1 68h71.5L292 277l22 68-57.8-42-57.9 42 22.1-68-57.8-42H234z""/><path fill=""#496e2d"" d=""M0 0h144.8v512H0z""/><path fill=""#ffda44"" d=""M367.2 0H512v512H367.2z""/></g></svg>"
CN,CHN,China,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""M0 0h512v512H0z""/><path fill=""#ffda44"" d=""m140.1 155.8 22.1 68h71.5l-57.8 42.1 22.1 68-57.9-42-57.9 42 22.2-68-57.9-42.1H118zm163.4 240.7-16.9-20.8-25 9.7 14.5-22.5-16.9-20.9 25.9 6.9 14.6-22.5 1.4 26.8 26 6.9-25.1 9.6zm33.6-61 8-25.6-21.9-15.5 26.8-.4 7.9-25.6 8.7 25.4 26.8-.3-21.5 16 8.6 25.4-21.9-15.5zm45.3-147.6L370.6 212l19.2 18.7-26.5-3.8-11.8 24-4.6-26.4-26.6-3.8 23.8-12.5-4.6-26.5 19.2 18.7zm-78.2-73-2 26.7 24.9 10.1-26.1 6.4-1.9 26.8-14.1-22.8-26.1 6.4 17.3-20.5-14.2-22.7 24.9 10.1z""/></g></svg>"
CO,COL,Colombia,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""m0 384 255.8-29.7L512 384v128H0z""/><path fill=""#0052b4"" d=""m0 256 259.5-31L512 256v128H0z""/><path fill=""#ffda44"" d=""M0 0h512v256H0z""/></g></svg>"
CR,CRI,Costa Rica,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#0052b4"" d=""M0 0h512v89l-66.3 167.5L512 423v89H0v-89l69.7-167.3L0 89z""/><path fill=""#eee"" d=""M0 89h512v78l-39.7 91.1L512 345v78H0v-78l36.3-85.6L0 167z""/><path fill=""#d80027"" d=""M0 167h512v178H0z""/></g></svg>"
CU,CUB,Cuba,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#0052b4"" d=""M0 0h512v102.4L483.8 151l28.2 53.8v102.4l-30.5 50.7 30.5 51.7V512H0l39.8-257z""/><path fill=""#ff9811"" d=""M0 44.5v423V256z""/><path fill=""#eee"" d=""M27.2 102.4v102.4H512V102.4H27.2zm0 204.8v102.4H512V307.2H27.2z""/><path fill=""#d80027"" d=""M0 0v512l256-256L0 0z""/><path fill=""#eee"" d=""m103.6 189.2 16.6 51h53.6l-43.4 31.6 16.6 51-43.4-31.5-43.4 31.5 16.6-51-43.4-31.6H87z""/></g></svg>"
CV,CPV,Cabo Verde,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#0052b4"" d=""M0 0h512v256.2l-41.9 64.3 41.9 63.7V512H0V384.2L41.3 320 0 256.2z""/><path fill=""#eee"" d=""M0 256.2h512v42.9l-15.7 21.6 15.7 21v42.5H0v-42.5l15.1-21.5L0 299z""/><path fill=""#d80027"" d=""M0 299.1h512v42.6H0z""/><path fill=""#ffda44"" d=""m182.8 190.4 5.2 16.4h17.1l-13.8 10 5.3 16.3-13.8-10-14 10 5.4-16.3-13.9-10h17.1zm0 213.3L188 420h17.1l-13.8 10 5.3 16.2-13.8-10-14 10L174 430l-14-10h17.2zm-99.2-72.1 5.2 16.2h17.1L92.1 358l5.2 16.2-13.7-10-14 10L75 358l-14-10.1h17.2zm37.9-119.8 5 16h17.2l-13.8 10.3 5.2 16.2-13.7-10-14 10 5.4-16.3-14-10.1H116zm-60.4 67h17l5.5-16.2 5.2 16.2h17.1L92.1 289l5.2 16.4L83.6 295l-14 10.3 5.4-16.4zm46.5 143 5.3-16.2L99 395.4h17.1l5.4-16.2 5.2 16.3h17.1L130 405.6l5.3 16.2-13.8-10zM282 331.6l-5.4 16.2h-17l13.8 10.2-5.3 16.2 13.9-10 13.8 10-5.2-16.3 13.7-10.1h-17zm-38-119.8-5.3 16.2h-17.1l14 10.2-5.4 16.2 13.9-10 13.8 10-5.3-16.3 13.8-10.1h-17zm60.3 67h-17l-5.3-16.2-5.4 16.2h-17l13.8 10.1-5.3 16.4L282 295l13.8 10.3-5.2-16.4zm-46.4 143-5.3-16.2 13.8-10.2h-17l-5.3-16.2-5.4 16.3h-17.1l14 10.1-5.4 16.2 13.9-10z""/></g></svg>"
CW,CUW,Curacao,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#0052b4"" d=""M0 0h512v342.3l-22 34.2 22 32.5v103H0V409l25.4-31L0 342.2z""/><path fill=""#eee"" d=""m175.2 164.2 13.8 42.5h44.7L197.6 233l13.8 42.5-36.2-26.3-36.1 26.3 13.8-42.5-36.2-26.3h44.7zm-76.7-44.5 8.2 25.5h26.9L111.9 161l8.3 25.5-21.7-15.7-21.7 15.7L85 161l-21.7-15.7h26.9z""/><path fill=""#ffda44"" d=""M0 342.3h512V409H0z""/></g></svg>"
CY,CYP,Cyprus,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#eee"" d=""M0 0h512v512H0z""/><path fill=""#6da544"" d=""M400.7 222.6h-33.4a111.3 111.3 0 0 1-222.6 0h-33.4c0 66.2 44.5 122 105.2 139.2a37 37 0 0 0 3.9 40.5l36.3-29.2 36.4 29.2a37 37 0 0 0 3.7-40.8 144.8 144.8 0 0 0 103.9-138.9z""/><path fill=""#ffda44"" d=""M167 211.5s0 55.6 55.6 55.6l11.1 11.2H256s11.1-33.4 33.4-33.4c0 0 0-22.3 22.3-22.3H345s-11-44.5 44.6-77.9l-22.3-11.1s-78 55.6-133.6 44.5v22.2h-22.2l-11.2-11-33.3 22.2z""/></g></svg>"
CZ,CZE,Czechia,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#eee"" d=""M0 0h512v256l-265 45.2z""/><path fill=""#d80027"" d=""M210 256h302v256H0z""/><path fill=""#0052b4"" d=""M0 0v512l256-256L0 0z""/></g></svg>"
DE,DEU,Germany,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#ffda44"" d=""m0 345 256.7-25.5L512 345v167H0z""/><path fill=""#d80027"" d=""m0 167 255-23 257 23v178H0z""/><path fill=""#333"" d=""M0 0h512v167H0z""/></g></svg>"
DJ,DJI,Djibouti,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#338af3"" d=""M0 0h512v256l-153.2 35.7L210 256z""/><path fill=""#6da544"" d=""M210 256h302v256H0z""/><path fill=""#eee"" d=""M0 0v512l256-256z""/><path fill=""#d80027"" d=""m103.6 189.2 16.6 51h53.6l-43.4 31.6 16.6 51-43.4-31.5-43.4 31.5 16.6-51-43.4-31.6H87z""/></g></svg>"
DK,DNK,Denmark,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""M0 0h133.6l32.7 20.3 34-20.3H512v222.6L491.4 256l20.6 33.4V512H200.3l-31.7-20.4-35 20.4H0V289.4l29.4-33L0 222.7z""/><path fill=""#eee"" d=""M133.6 0v222.6H0v66.8h133.6V512h66.7V289.4H512v-66.8H200.3V0h-66.7z""/></g></svg>"
DM,DMA,Dominica,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#496e2d"" d=""M0 0h208l48 32 48-32h208v208l-32 48 32 48v208H304l-48-32-48 32H0V304l32-48-32-48Z""/><path fill=""#333"" d=""M512 240v32l-256 32L0 272v-32l256-32z""/><path fill=""#ffda44"" d=""M512 208v32H0v-32z""/><path fill=""#333"" d=""M240 0h32l32 256-32 256h-32l-32-256Z""/><path fill=""#ffda44"" d=""M208 0h32v512h-32z""/><path fill=""#eee"" d=""M272 0h32v512h-32z""/><path fill=""#eee"" d=""M512 272v32H0v-32z""/><circle cx=""256"" cy=""256"" r=""122.4"" fill=""#d80027""/><path fill=""#496e2d"" d=""M284 270c-9-19-21-37-21-37v-13a14 14 0 0 0-27-2 11 11 0 0 0-4 21 16 16 0 0 1 9-9 14 14 0 0 0 2 2h2s-7 19-7 29c0 27 19 36 19 36l-10 9h19v-18l9 9s17-11 9-27zm-28-114 4 13h14l-11 8 4 12-11-8-11 8 4-12-11-8h14Zm-59 19 11 8 11-8-4 13 11 8h-14l-4 12-4-12h-14l11-8zm-36 50h13l4-13 4 13h14l-11 8 4 13-11-8-11 8 5-13zm0 62 11-8-5-13 11 8 11-8-4 13 11 8h-14l-4 13-4-13Zm36 50 4-13-11-8h14l4-12 4 12h13l-10 8 4 13-11-8zm59 19-4-13h-14l11-8-4-12 11 8 11-8-4 12 11 9h-14Zm59-19-11-8-11 8 4-13-10-8h13l4-12 4 12h14l-11 8zm36-50h-13l-4 13-4-13h-14l11-8-4-13 11 8 11-8-5 13zm0-62-11 8 5 13-11-8-11 8 4-13-11-8h14l4-13 4 13zm-36-50-4 13 11 8h-14l-4 12-4-12h-14l11-8-4-13 11 8z""/></g></svg>"
DO,DOM,Dominican Republic,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""M35.5 256h444l32.5-66.8V0H322.8L256 31.8v444.6L189.2 512H0V322.8z""/><path fill=""#0052b4"" d=""M479.5 256h-444L0 189.2V0h189.2L256 31.8v444.6l66.8 35.6H512V322.8z""/><path fill=""#eee"" d=""M189.2 0h133.6v189.2H512v133.6H322.8V512H189.2V322.8H0V189.2h189.2z""/><path fill=""#496e2d"" d=""M322.8 256a66.8 66.8 0 1 1-133.6 0c0-36.9 66.8-66.8 66.8-66.8s66.8 30 66.8 66.8z""/><path fill=""#0052b4"" d=""M189.2 256a66.8 66.8 0 1 1 133.6 0""/><path fill=""#d80027"" d=""M218.4 222.6v41.7a37.6 37.6 0 1 0 75.2 0v-41.7z""/></g></svg>"
DZ,DZA,Algeria,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#496e2d"" d=""M0 0h256l45.3 251.8L256 512H0z""/><path fill=""#eee"" d=""M256 0h256v512H256z""/><g fill=""#d80027""><path d=""m311 206.9-21 29-34-11 21 28.8-21 29 34-11.1 21 29v-35.8l34-11.1-34-11z""/><path d=""M277.2 328.3a72.3 72.3 0 1 1 34.5-136 89 89 0 1 0 0 127.3 72 72 0 0 1-34.5 8.7z""/></g></g></svg>"
EC,ECU,Ecuador,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#d80027"" d=""m0 384 254.7-32.7L512 383.9V512H0z""/><path fill=""#0052b4"" d=""m0 256 255-27 257 27v128H0z""/><path fill=""#ffda44"" d=""M0 0h512v256H0z""/><circle cx=""256"" cy=""256"" r=""89"" fill=""#ffda44""/><path fill=""#338af3"" d=""M256 311.6c-30.7 0-55.7-25-55.7-55.6v-33.4a55.7 55.7 0 0 1 111.4 0V256c0 30.6-25 55.6-55.7 55.6z""/><path fill=""#333"" d=""M345 122.4h-66.7a22.3 22.3 0 0 0-44.6 0H167a23 23 0 0 0 23 22.3h-.8c0 12.3 10 22.3 22.3 22.3 0 12.3 10 22.2 22.2 22.2h44.6c12.3 0 22.2-10 22.2-22.2 12.3 0 22.3-10 22.3-22.3h-.8a23 23 0 0 0 23-22.3z""/></g></svg>"
EE,EST,Estonia,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#333"" d=""m0 167 254.6-36.6L512 166.9v178l-254.6 36.4L0 344.9z""/><path fill=""#0052b4"" d=""M0 0h512v166.9H0z""/><path fill=""#eee"" d=""M0 344.9h512V512H0z""/></g></svg>"
EG,EGY,Egypt,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#eee"" d=""m0 144 256-32 256 32v224l-256 32L0 368Z""/><path fill=""#d80027"" d=""M0 0h512v144H0Z""/><path fill=""#333"" d=""M0 368h512v144H0Z""/><path fill=""#ff9811"" d=""M250 191c-8 0-17 4-22 14 5-3 16-1 16 13 0 4-2 8-5 10-8 0-14-14-29-14-10 0-19 7-19 17v69l46-7-14 27h66l-14-27 46 7v-69c0-10-9-17-19-17-15 0-21 14-29 14 8-23-7-37-23-37z""/></g></svg>"
EH,ESH,Western Sahara,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#eee"" d=""m90.1 144.8 210.5-27.7L512 144.8v222.6l-209 32.4-213-32.4z""/><path fill=""#333"" d=""M0 0h512v144.8H28.2z""/><path fill=""#496e2d"" d=""M39.5 367.4H512V512H0z""/><path fill=""#d80027"" d=""M0 .1V512h.1L256 256.1 0 .1zm365.1 178.1a78 78 0 1 0 18.9 154 78 78 0 0 1 0-152.2 78.2 78.2 0 0 0-18.9-1.8z""/><path fill=""#d80027"" d=""m387.3 206.1 11 34h35.8l-29 21 11.1 34-29-21-28.9 21 11.1-34-29-21h35.8z""/></g></svg>"
ER,ERI,Eritrea,"<svg xmlns=""http://www.w3.org/2000/svg"" width=""512"" height=""512"" viewBox=""0 0 512 512""><mask id=""a""><circle cx=""256"" cy=""256"" r=""256"" fill=""#fff""/></mask><g mask=""url(#a)""><path fill=""#6da544"" d=""M0 0h512v256H62z""/><path fill=""#338af3"" d=""M62 256h450v256H0z""/><path fill=""#d80027"" d=""M0 0v512l512-256z""/><path fill=""#ffda44"" d=""M133.6 150.3c-49.1 0-89 40-89 89v33.4a89.1 89.1 0 0 0 178 0v-33.4c0-49-40-89-89-89zm55.6 122.4c0 24.9-16.4 46-39 53v-36.3l23.7-23.6-23.6-23.6v-19.6h-33.4V256l-23.6 23.6 23.6 23.6v22.6a55.7 55.7 0 0 1-39-53.1v-33.4a55.7 55.7 0 0 1 111.3 0z""/></g></svg>"
